num_epoch, train_loss, train_acc, valid loss, valid_test
Model 0, policy step [False, False, False, False, False, False, False, True].
56,0.466293,84,0.646013,77
57,0.467388,84,0.645616,76
58,0.475123,84,0.644227,76
59,0.493590,84,0.642586,77
60,0.455888,85,0.642334,77
61,0.464182,84,0.642196,77
62,0.466508,85,0.643498,77
63,0.457576,84,0.641947,77
64,0.451201,86,0.640229,77
65,0.456985,84,0.640121,77
66,0.427837,86,0.640115,77
67,0.509423,83,0.639726,76
68,0.433403,85,0.638787,76
69,0.485208,85,0.637731,76
70,0.471492,85,0.639186,77
71,0.440651,85,0.636333,77
72,0.471931,84,0.636188,77
73,0.474278,84,0.635147,77
74,0.440196,85,0.635864,77
75,0.458287,85,0.634206,77
76,0.438559,86,0.633307,76
77,0.487980,84,0.633360,77
78,0.431210,86,0.632432,77
79,0.413871,87,0.633407,77
80,0.440757,85,0.632124,77
81,0.444057,85,0.631169,77
82,0.442871,86,0.629431,77
83,0.451440,86,0.629910,77
84,0.450176,85,0.629389,77
85,0.434647,86,0.627399,77
86,0.424103,86,0.628440,77
87,0.417703,87,0.628539,77
Model saved at 1571876358/3.pt
Final Valid Loss: 0.628539, Final Valid Acc: 77
Model 4, policy step [False, False, False, True, True, True, True, True].
1,0.430232,87,0.626671,77
2,0.436226,87,0.623369,77
3,0.440384,86,0.618199,77
4,0.416767,87,0.616475,77
5,0.395961,87,0.613348,77
6,0.407876,86,0.611463,77
7,0.400493,86,0.609147,77
8,0.415236,86,0.607339,78
9,0.401713,87,0.606313,78
10,0.375588,87,0.604331,78
11,0.436853,86,0.602996,78
12,0.396535,86,0.599977,78
13,0.385718,88,0.600081,78
14,0.404046,88,0.599807,78
15,0.416113,86,0.595530,78
16,0.370497,88,0.593498,78
17,0.373796,89,0.593727,78
18,0.363913,88,0.591951,78
19,0.356898,89,0.591420,78
20,0.394878,87,0.589022,78
21,0.422385,86,0.589503,78
22,0.375116,89,0.587165,79
23,0.357561,89,0.586110,79
24,0.349569,89,0.585476,78
25,0.401093,87,0.584240,78
26,0.363473,89,0.582533,79
27,0.387458,87,0.583627,79
28,0.342744,89,0.581070,79
29,0.365213,89,0.582390,79
30,0.373994,88,0.579379,79
31,0.356605,89,0.580453,79
32,0.337425,89,0.580371,79
Model saved at 1571876358/4.pt
Final Valid Loss: 0.580371, Final Valid Acc: 79
Model 5, policy step [False, False, True, True, True, True, True, True].
1,0.362194,88,0.575770,80
2,0.381656,89,0.569373,80
3,0.342526,89,0.571848,80
4,0.326611,89,0.563491,80
5,0.385618,88,0.562842,81
6,0.331997,90,0.560585,80
7,0.347735,88,0.559128,80
8,0.339054,89,0.555109,81
9,0.358839,87,0.551386,81
10,0.325152,90,0.552047,81
11,0.313709,89,0.549495,81
12,0.308179,89,0.548992,81
13,0.306547,89,0.546190,81
14,0.300991,91,0.544235,81
15,0.346020,89,0.544727,81
16,0.317536,89,0.541677,81
17,0.301614,90,0.543998,81
18,0.274068,91,0.540698,81
19,0.307448,90,0.538005,81
20,0.285487,91,0.539525,81
21,0.301878,90,0.538150,81
Model saved at 1571876358/5.pt
